"Name","First_Name","Party","Twitter_Id"
"Grundmann","Oliver","CDU/CSU","0"
"Güler","Serap","CDU/CSU","0"
"Güntzler","Fritz","CDU/CSU","0"
"Gürpinar","Ates","Die Linke","833040538370719746"
"Gutting","Olav","CDU/CSU","0"
"Gysi","Gregor","Die Linke","0"
"Haase","Christian","CDU/CSU","0"
"Habeck","Robert","Bündnis 90/Die Grünen","0"
"Hacker","Thomas","FDP","89209507"
"Hagedorn","Bettina","SPD","0"
"Hagl-Kehl","Rita","SPD","836553428042141697"
"Hahn","André","Die Linke","0"
"Hahn","Florian","CDU/CSU","403735368"
"Hakverdi","Metin","SPD","1043288618"
"Hanke","Reginald","FDP","0"
"Harder-Kühnel","Mariana Iris","AfD","0"
"Hartewig","Philipp","FDP","817772024697389059"
"Hartmann","Sebastian","SPD","0"
"Harzer","Ulrike","FDP","0"
"Haßelmann","Britta","Bündnis 90/Die Grünen","1131092102"
"Hauer","Matthias","CDU/CSU","0"
"Haug","Jochen","AfD","717077328669646849"
"Heck","Stefan","CDU/CSU","0"
"Heidenblut","Dirk","SPD","0"
"Heidt","Peter","FDP","1858621434"
"Heil ","Hubertus","SPD","15943222"
"Heil","Mechthild","CDU/CSU","0"
"Heiligenstadt","Frauke","SPD","20715527"
"Heilmann","Thomas","CDU/CSU","56806603"
"Heinrich","Gabriela","SPD","296121556"
"Heitmann","Linda","Bündnis 90/Die Grünen","0"
"Helferich","Matthias","fraktionslos","0"
"Helfrich","Mark","CDU/CSU","0"
"Helling-Plahr","Katrin","FDP","0"
"Hellmich","Wolfgang","SPD","786498202832822272"
"Henneberger","Kathrin","Bündnis 90/Die Grünen","0"
"Hennig","Anke","SPD","1283381888372047872"
"Hennig-Wellsow","Susanne","Die Linke","0"
"Hennrich","Michael","CDU/CSU","0"
"Henrichmann","Marc","CDU/CSU","44608858"
"Herbrand","Markus","FDP","997138767763750912"
"Herbst","Torsten","FDP","17561226"
"Herrmann","Bernhard","Bündnis 90/Die Grünen","0"
"Heselhaus","Nadine","SPD","0"
"Hess","Martin","AfD","872663038805016576"
"Hessel","Katja","FDP","107806591"
"Heveling","Ansgar","CDU/CSU","0"
"Hierl","Susanne","CDU/CSU","0"
"Hilse","Karsten","AfD","920932259347214338"
"Hirte","Christian","CDU/CSU","0"
"Hitschler","Thomas","SPD","292151515"
"Hocker","Gero Clemens","FDP","0"
"Höchst","Nicole","AfD","3105025175"
"Höferlin","Manuel","FDP","17483463"
"Hönel","Bruno","Bündnis 90/Die Grünen","859112360228917249"
"Hoffmann","Alexander","CDU/CSU","1193816843519172608"
"Hoffmann","Bettina","Bündnis 90/Die Grünen","971040144420720641"
"Hoffmann","Christoph","FDP","0"
"Hofreiter","Anton","Bündnis 90/Die Grünen","442678902"
"Holm","Leif-Erik","AfD","739531034761498624"
"Hoppenstedt","Hendrik","CDU/CSU","0"
"Hoppermann","Franziska","CDU/CSU","0"
"Hostert","Jasmina","SPD","817937942"
"Houben","Reinhard","FDP","825069798140833794"
"Huber","Johannes","AfD","925286741921189888"
"Hubertz","Verena","SPD","3591923477"
"Hümpfer","Markus","SPD","709129502870409217"
"Hüppe","Hubert","CDU/CSU","0"
"Hunko","Andrej","Die Linke","0"
"Huy","Gerrit","AfD","0"
"in der Beek","Olaf","FDP","913327957602693121"
"Irlstorfer","Erich","CDU/CSU","0"
"Jacobi","Fabian","AfD","0"
"Janecek","Dieter","Bündnis 90/Die Grünen","0"
"Janich","Steffen","AfD","0"
"Janssen","Anne","CDU/CSU","0"
"Jarzombek","Thomas","CDU/CSU","0"
"Jensen-Bornhöft","Gyde","FDP","0"
"Jongen","Marc","AfD","4121053541"
"Jung","Andreas","CDU/CSU","0"
"Jung","Christian","FDP","0"
"Jung","Ingmar","CDU/CSU","0"
"Junge","Frank","SPD","0"
"Juratovic","Josip","SPD","738731811380076544"
"Jurisch","Ann-Veruschka","FDP","0"
"Kaczmarek","Oliver","SPD","231440493"
"Kaddor","Lamya","Bündnis 90/Die Grünen","0"
"Kaiser","Elisabeth","SPD","1425035358"
"Kappert-Gonther","Kirsten","Bündnis 90/Die Grünen","955357684013953025"
"Karaahmetoğlu","Macit","SPD","0"
"Karliczek","Anja","CDU/CSU","0"
"Kasper","Carlos","SPD","0"
"Kassautzki","Anna","SPD","2776064484"
"Katzmarek","Gabriele","SPD","3017602065"
"Kaufmann","Malte","AfD","97530140"
"Kaufmann","Michael","AfD","1595763756"
"Keller","Rainer Johannes","SPD","0"
"Kellner","Michael","Bündnis 90/Die Grünen","2221112390"
"Kemmer","Ronja","CDU/CSU","0"
"Kersten","Franziska","SPD","729399137272213505"
"Keul","Katja","Bündnis 90/Die Grünen","0"
"Keuter","Stefan","AfD","794628172570619904"
"Khan","Misbah","Bündnis 90/Die Grünen","0"
"Kiesewetter","Roderich","CDU/CSU","42698498"
"Kießling","Michael","CDU/CSU","0"
"Kindler","Sven-Christian","Bündnis 90/Die Grünen","17343047"
"Kippels","Georg","CDU/CSU","0"
"Kipping","Katja","Die Linke","0"
"Kiziltepe","Cansel","SPD","23248102"
"Kleebank","Helmut","SPD","4185556127"
"Klein","Karsten","FDP","995228494023086080"
